keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company,date
#io15,HASHTAG,5.61E-11,12498,11931,12284,RT googlephotos: Hello world #io15 http://t.co/tRWneHhE8K,2185,2279,2217,Google,27/09/2014
@googlemaps,USERNAME,1.82E-04,12844,9739,11732,"RT googlemaps: Drink in this view of tommycaldwell1 1,200 ft up the Dawn Wall of #ElCapitan. ??: coreyrich ? http://t.co/R4PjgFUOD2 http:�",1818,335,1298,Google,23/06/2014
#Nexus,HASHTAG,0.0025,12533,7029,10605,RT Android: #AndroidLollipop rollout has started and will soon be available on most #Nexus devices. Dessert is served. http://t.co/XVFX2tE�,8043,4780,6900,Google,12/11/2014
top,OTHER,0.007321544,9865,8456,9349,RT googlepolitics: The President spoke to both his plan on community colleges &amp; diplomacy with Cuba. See the top questions on both --&gt; htt�,1608,484,1214,Google,20/04/2015
#GoogleSearch,HASHTAG,0.003716349,10234,7527,9239,"With Seattle up 36-0, a look at the top trending #GoogleSearch terms from the game so far http://t.co/b1KtrVoiV0",657,339,545,Google,9/12/2014
@Google,USERNAME,0.001934374,7009,11065,8416,RT JaredLeto: #JaredHugginLeto hugs all around for helping me make Google's #YearInSearch! http://t.co/bG4rkXjD6b http://t.co/nuY7i8veRM,1688,3755,2411,Google,20/01/2015
#SafeOnline,HASHTAG,0.024055508,8826,7220,8254,"Protect your accounts: a few tips for choosing a better password than ""password""  #SafeOnline http://t.co/BM3fiknXc4 http://t.co/dMtUjXFh92",1725,594,1329,Google,15/01/2015
#Android,HASHTAG,2.76E-08,9219,5845,8031,"Introducing #Android 5.0, Lollipop, and new #Nexus devices: Nexus 9, Nexus 6 and Nexus Player http://t.co/6D3aE650Pb http://t.co/HT5bdhxCEV",4490,2249,3705,Google,19/12/2014
#GoogleDoodle,HASHTAG,3.72E-05,7310,8524,7722,Today's #GoogleDoodle celebrates the achievements of women everywhere. Happy International Women's Day! http://t.co/wxYF0BMO1C,844,805,830,Google,20/01/2015
#AndroidLollipop,HASHTAG,0.0025,8405,5165,7270,RT Android: #AndroidLollipop rollout has started and will soon be available on most #Nexus devices. Dessert is served. http://t.co/XVFX2tE�,8043,4780,6900,Google,25/04/2015
#StreetView,HASHTAG,1.92E-10,7611,6576,7233,Nature's greatest light show without the trek: the aurora borealis on GoogleMaps #StreetView http://t.co/wzlYiSWuUy http://t.co/aVheXMjiUy,1850,429,1352,Google,1/4/2015
soon be,OTHER,0.01,8043,4780,6900,RT Android: #AndroidLollipop rollout has started and will soon be available on most #Nexus devices. Dessert is served. http://t.co/XVFX2tE�,8043,4780,6900,Google,23/06/2014
great,OTHER,0.163029768,5604,6400,5879,RT MesutOzil1088: Thanks for your great interest and support! ???? #GoogleTrends #GERvsGHA #�zil #WorldCup http://t.co/QUF8cX8I6M,4349,4960,4562,Google,10/2/2015
@GooglePlay,USERNAME,0.016640459,5671,6124,5814,�The Interview� is now available on GooglePlay http://t.co/p4IV8T7GJz &amp; YouTube http://t.co/5XtsCcn5nD in the U.S.,1215,1024,1148,Google,24/03/2015
@GoogleMaps,USERNAME,0.016350615,6444,4674,5812,Nature's greatest light show without the trek: the aurora borealis on GoogleMaps #StreetView http://t.co/wzlYiSWuUy http://t.co/aVheXMjiUy,1850,429,1352,Google,5/11/2014
#pride,HASHTAG,0.666000009,5616,5678,5636,The first #pride flag flew in 1978. Today we understand what it really means. #LoveWins https://t.co/lWttIejpKj http://t.co/gIHwu7JRA2,2808,2839,2818,Google,23/01/2015
Happy birthday,OTHER,0.035914242,6137,4317,5493,What is both big and small and celebrating a sweet sixteen? We are! Happy birthday to us! http://t.co/39vynsYtXB,1129,1133,1130,Google,10/7/2014
latest,OTHER,-0.018492827,5484,4380,5083,"RT Android: The latest #AndroidWear update gets Wi-Fi, gestures, a new app launcher, emojis and more http://t.co/2VBS0R3FVA http://t.co/8e�",791,753,777,Google,5/11/2014
#io14,HASHTAG,2.17E-11,5948,3405,5049,1 billion #Android devices out in the world. That's something like 93 million selfies taken every day ... give or take #io14,1195,630,997,Google,1/5/2015
YouTube,OTHER,0.074968013,4714,5193,4873,RT YouTubeGaming: Here's everything you need to know about YouTube Gaming. Coming later this summer. ? http://t.co/AvvliTFN2a,1073,1484,1216,Google,27/10/2013
important,OTHER,0.056707858,5659,3350,4849,"We're always looking ahead, but sometimes it's important to reflect. Change your perspective: http://t.co/oTkpNeurqj http://t.co/4RDyBgjSES",4631,2691,3952,Google,29/06/2014
@inboxbygmail,USERNAME,2.01E-05,5653,3284,4820,RT inboxbygmail: Want an invite TODAY? #InboxHappyHour 3-4pm PT. Send us an email at inboxgoogle.com between 3 and 4pm PT and you'll get �,3125,894,2344,Google,24/12/2014
#YouTubeAsksObama,HASHTAG,0,2514,8754,4696,"RT YouTube: ICYMI: BethanyMota, hankgreen and GloZell met the president yesterday. http://t.co/9A83Iytm55 #YouTubeAsksObama http://t.co�",971,3949,2013,Google,10/2/2015
#InboxHappyHour,HASHTAG,0.550000012,6250,1788,4688,RT inboxbygmail: Want an invite TODAY? #InboxHappyHour 3-4pm PT. Send us an email at inboxgoogle.com between 3 and 4pm PT and you'll get �,3125,894,2344,Google,5/11/2014
#EarthDay,HASHTAG,0.004848513,3714,6329,4625,RT paulwesley: See how you can help GorillaCD this #EarthDay with the support of http://t.co/FqGZvW8Nh5 - WATCH MY VIDEO msg here http://�,1806,3564,2421,Google,16/01/2015
@MesutOzil1088,USERNAME,0,4349,4960,4562,RT MesutOzil1088: Thanks for your great interest and support! ???? #GoogleTrends #GERvsGHA #�zil #WorldCup http://t.co/QUF8cX8I6M,4349,4960,4562,Google,10/11/2014
#�zil,HASHTAG,0,4349,4960,4562,RT MesutOzil1088: Thanks for your great interest and support! ???? #GoogleTrends #GERvsGHA #�zil #WorldCup http://t.co/QUF8cX8I6M,4349,4960,4562,Google,14/01/2015
great interest,OTHER,0.600000024,4349,4960,4562,RT MesutOzil1088: Thanks for your great interest and support! ???? #GoogleTrends #GERvsGHA #�zil #WorldCup http://t.co/QUF8cX8I6M,4349,4960,4562,Google,12/11/2014
#GERvsGHA,HASHTAG,0,4349,4960,4562,RT MesutOzil1088: Thanks for your great interest and support! ???? #GoogleTrends #GERvsGHA #�zil #WorldCup http://t.co/QUF8cX8I6M,4349,4960,4562,Google,19/12/2014
#staysafe,HASHTAG,-7.12E-07,5613,2495,4506,Learn how to remote wipe your device in case it's lost or stolen. http://t.co/Y8SlVnxu3f #staysafe http://t.co/c93T6uqYhd,272,277,273,Google,17/01/2015
lost,OTHER,-0.046393002,5430,2594,4431,"Never get lost again. Try the new Google Translate app, for Android and iOS ? http://t.co/CehXQGAoiC http://t.co/3qDr7Voa8p",2844,1009,2201,Google,3/2/2014
better,OTHER,0.017712735,4534,3521,4170,"Protect your accounts: a few tips for choosing a better password than ""password""  #SafeOnline http://t.co/BM3fiknXc4 http://t.co/dMtUjXFh92",1725,594,1329,Google,12/6/2015
@sundarpichai,USERNAME,0.024044445,4816,2847,4124,"RT sundarpichai: Excited to announce dates for Google I/O in San Francisco on May 28-29, 2015. More details at https://t.co/9CdxQHxEiS",1506,1035,1341,Google,31/12/2013
#Nepal,HASHTAG,-0.045314645,4697,2921,4073,MT-GoogleCR: Person Finder launced to help track missing persons for #Nepal earthquake ? http://t.co/MovGHXXoAb http://t.co/8NNz4BKXIp,1594,703,1282,Google,9/12/2014
Performance Technologies,OTHER,0.050158615,4921,2256,3984,RT inboxbygmail: Want an invite TODAY? #InboxHappyHour 3-4pm PT. Send us an email at inboxgoogle.com between 3 and 4pm PT and you'll get �,3125,894,2344,Google,15/10/2014
http://t.co/oTkpNeurqj,LINK,0,4631,2691,3952,"We're always looking ahead, but sometimes it's important to reflect. Change your perspective: http://t.co/oTkpNeurqj http://t.co/4RDyBgjSES",4631,2691,3952,Google,1/4/2015
http://t.co/4RDyBgjSES,LINK,0,4631,2691,3952,"We're always looking ahead, but sometimes it's important to reflect. Change your perspective: http://t.co/oTkpNeurqj http://t.co/4RDyBgjSES",4631,2691,3952,Google,3/3/2015
always looking,OTHER,0.048497099,4631,2691,3952,"We're always looking ahead, but sometimes it's important to reflect. Change your perspective: http://t.co/oTkpNeurqj http://t.co/4RDyBgjSES",4631,2691,3952,Google,29/01/2014
@googlechrome,USERNAME,1.87E-11,4051,3728,3931,"RT googlechrome: We're adding the first set of Android apps to Chromebooks today, with more to come. http://t.co/iREH3A6Hnh http://t.co/Ix�",1133,900,1051,Google,24/12/2014
@googleglass,USERNAME,1.00E-04,4778,1981,3790,RT googleglass: The Explorer Program is closing. On to the future. http://t.co/M2JbJ3c3VX http://t.co/HxHirtlVy5,2444,349,1710,Google,15/01/2015
updates,OTHER,0.017921129,4203,2995,3762,RT googlefiber: #FiberIsComing to Salt Lake City. Woohoo! Get updates on our progress at http://t.co/PgHKNJ0Iry http://t.co/mKCS5KQ8sg,412,357,392,Google,20/01/2015
@JaredLeto,USERNAME,0,2751,5489,3708,RT JaredLeto: #JaredHugginLeto hugs all around for helping me make Google's #YearInSearch! http://t.co/bG4rkXjD6b http://t.co/nuY7i8veRM,1688,3755,2411,Google,24/06/2014
http://t.co/HT5bdhxCEV,LINK,0,4490,2249,3705,"Introducing #Android 5.0, Lollipop, and new #Nexus devices: Nexus 9, Nexus 6 and Nexus Player http://t.co/6D3aE650Pb http://t.co/HT5bdhxCEV",4490,2249,3705,Google,20/01/2015
http://t.co/6D3aE650Pb,LINK,0,4490,2249,3705,"Introducing #Android 5.0, Lollipop, and new #Nexus devices: Nexus 9, Nexus 6 and Nexus Player http://t.co/6D3aE650Pb http://t.co/HT5bdhxCEV",4490,2249,3705,Google,15/10/2014
agreement,OTHER,0.45068118,4862,1163,3567,We've just signed an agreement to sell Motorola to Lenovo for $2.91 billion: http://t.co/PKDXrTq6Oe http://t.co/vLcDBXlvIh,4086,867,2959,Google,11/3/2015
@google,USERNAME,0.035000263,3755,3196,3553,RT googlepolitics: Here are the top questions people asked google during tonight's #sotu: http://t.co/3BTlGBVCLZ,1647,113,1110,Google,29/01/2014
awesome,OTHER,0.104095242,2837,4833,3532,RT YouTube: Something awesome this way comes. #YouTubeRewind drops in two hours! http://t.co/Xr0OX0adZJ,1650,3484,2291,Google,2/7/2014
now available,OTHER,0.036712168,3821,2947,3510,�The Interview� is now available on GooglePlay http://t.co/p4IV8T7GJz &amp; YouTube http://t.co/5XtsCcn5nD in the U.S.,1215,1024,1148,Google,28/05/2015
love,OTHER,0.037658514,3532,3464,3499,"Our doodle honors a man who settled for nothing less than peace, love and justice in the US. Happy MLK Jr. Day! http://t.co/0C14x5WaLX",549,510,535,Google,28/05/2015
#HugYourCatDay,HASHTAG,0.398636371,2494,5348,3492,RT YouTube: Today is #HugYourCatDay. Let the snuggling begin! ?? https://t.co/6oQuv2Tqbk http://t.co/bjZzT3SAOc,1247,2674,1746,Google,26/09/2013
http://t.co/oo8gV8ezuR,LINK,0,3567,2913,3333,Brazil's biggest (hearted) fan. #BRAvsNED #GoogleTrends http://t.co/oo8gV8ezuR http://t.co/RBfyglsK9H,850,729,807,Google,20/01/2015
#USA,HASHTAG,0,3318,3208,3277,The USA is officially World Cup crazy. #USA #GoogleTrends http://t.co/c000rjuUtX http://t.co/iLQbRVXs9g,1518,1476,1503,Google,14/10/2014
#SOTU,HASHTAG,0.002083333,4047,1628,3197,RT YouTube: Tune in to http://t.co/VV9evY1bJ7 tonight at 9 p.m. ET for President Obama's State of the Union address. #SOTU http://t.co/bLL�,1772,473,1317,Google,31/03/2015
safe,OTHER,0.035425471,3351,2922,3193,We're getting the party started on our homepage. Have a safe and happy New Year! http://t.co/2hUnnWDDQo,656,465,589,Google,10/2/2015
friends,OTHER,0.042585,3427,2494,3095,RT sundarpichai: Met some sweet new friends today. #NationalDessertDay #Android http://t.co/KNxe1LjpgI,1218,575,992,Google,3/3/2015
http://t.co/pjm3YXO0W9,LINK,0,3207,2819,3068,Many moments of hope this #YearInSearch: We searched more for �mh370 found� than �mh370 lost� http://t.co/pjm3YXO0W9 http://t.co/wLocZNhuHi,1088,436,859,Google,20/04/2015
@BethanyMota,USERNAME,0,1644,5670,3052,"RT YouTube: ICYMI: BethanyMota, hankgreen and GloZell met the president yesterday. http://t.co/9A83Iytm55 #YouTubeAsksObama http://t.co�",971,3949,2013,Google,9/4/2015
@GloZell,USERNAME,0,1644,5670,3052,"RT YouTube: ICYMI: BethanyMota, hankgreen and GloZell met the president yesterday. http://t.co/9A83Iytm55 #YouTubeAsksObama http://t.co�",971,3949,2013,Google,4/7/2014
real thing,OTHER,0.465683997,3092,2922,3032,RT NASA: See Google's Perseid meteor shower doodle? Watch the real thing streamed live tonight: http://t.co/JFI22XqFfW�� http://t.co/sEb9�,1546,1461,1516,Google,23/06/2014
proud,OTHER,0.700000028,2989,2944,2971,"This #SpiritDay, we're proud to go purple to stand up against bullying. http://t.co/ByqPb8DnGn",1680,1442,1596,Google,22/04/2015
Lenovo,OTHER,0.45068118,4086,867,2959,We've just signed an agreement to sell Motorola to Lenovo for $2.91 billion: http://t.co/PKDXrTq6Oe http://t.co/vLcDBXlvIh,4086,867,2959,Google,19/12/2014
http://t.co/vLcDBXlvIh,LINK,0,4086,867,2959,We've just signed an agreement to sell Motorola to Lenovo for $2.91 billion: http://t.co/PKDXrTq6Oe http://t.co/vLcDBXlvIh,4086,867,2959,Google,26/06/2014
$2.91 billion,OTHER,0.45068118,4086,867,2959,We've just signed an agreement to sell Motorola to Lenovo for $2.91 billion: http://t.co/PKDXrTq6Oe http://t.co/vLcDBXlvIh,4086,867,2959,Google,29/01/2014
Motorola,OTHER,0.45068118,4086,867,2959,We've just signed an agreement to sell Motorola to Lenovo for $2.91 billion: http://t.co/PKDXrTq6Oe http://t.co/vLcDBXlvIh,4086,867,2959,Google,14/01/2015
http://t.co/PKDXrTq6Oe,LINK,0,4086,867,2959,We've just signed an agreement to sell Motorola to Lenovo for $2.91 billion: http://t.co/PKDXrTq6Oe http://t.co/vLcDBXlvIh,4086,867,2959,Google,17/01/2015
Celebrate,OTHER,0.043100756,3213,2318,2894,Now's your chance to regenerate as a time-traveling alien. Celebrate 50 years of Doctor Who: http://t.co/xWNQlqNzWq http://t.co/zwYUTHO4dt,973,662,864,Google,12/11/2014
@hankgreen,USERNAME,0,1480,5487,2882,"RT YouTube: ICYMI: BethanyMota, hankgreen and GloZell met the president yesterday. http://t.co/9A83Iytm55 #YouTubeAsksObama http://t.co�",971,3949,2013,Google,28/05/2015
#Howard,HASHTAG,0,2492,3496,2843,Taking 16 for the team. #Howard #GoogleTrends http://t.co/SzKUP81DGO,2492,3496,2843,Google,19/12/2014
http://t.co/SzKUP81DGO,LINK,0,2492,3496,2843,Taking 16 for the team. #Howard #GoogleTrends http://t.co/SzKUP81DGO,2492,3496,2843,Google,26/06/2015
https://t.co/lWttIejpKj,LINK,0,2808,2839,2818,The first #pride flag flew in 1978. Today we understand what it really means. #LoveWins https://t.co/lWttIejpKj http://t.co/gIHwu7JRA2,2808,2839,2818,Google,22/12/2014
http://t.co/gIHwu7JRA2,LINK,0,2808,2839,2818,The first #pride flag flew in 1978. Today we understand what it really means. #LoveWins https://t.co/lWttIejpKj http://t.co/gIHwu7JRA2,2808,2839,2818,Google,23/01/2015
#LoveWins,HASHTAG,0,2808,2839,2818,The first #pride flag flew in 1978. Today we understand what it really means. #LoveWins https://t.co/lWttIejpKj http://t.co/gIHwu7JRA2,2808,2839,2818,Google,1/4/2015
celebrate,OTHER,0.088020837,2895,2511,2758,We're proud to celebrate marriage equality! #AndProud https://t.co/jDadChCZuJ http://t.co/kkFajfK4SE,1209,1428,1285,Google,19/05/2015
@googlephotos,USERNAME,0,2601,2889,2700,RT googlephotos: Hello world #io15 http://t.co/tRWneHhE8K,2185,2279,2217,Google,11/9/2014
#HappyPlanet,HASHTAG,0.1125,2238,3524,2684,RT Pharrell: Let's have a party with a purpose and raise our voices for Climate Action http://t.co/N1leibSoPC  #HappyPlanethttps://t.co/c�,560,1035,726,Google,22/04/2015
inbox@google.com,OTHER,0,3423,1097,2608,RT inboxbygmail: Want an invite TODAY? #InboxHappyHour 3-4pm PT. Send us an email at inboxgoogle.com between 3 and 4pm PT and you'll get �,3125,894,2344,Google,19/01/2015
#Oscars,HASHTAG,2.43E-08,2618,2522,2575,"From stars to selfies, here are the top searches from #GoogleSearch at the #Oscars http://t.co/OReWAKqmM4",556,353,484,Google,9/12/2014
#WWC2015,HASHTAG,0,1922,3652,2518,It's #morethanamatch. It's inspiring a generation. #WWC2015 http://t.co/p3daHYV5Kg,285,706,432,Google,21/01/2015
celebrating,OTHER,0.064826146,2050,3375,2508,RT YouTube: We're celebrating #10YearsOfYouTube all month: Our A-Z countdown starts tomorrow! https://t.co/fgEbhJht9t http://t.co/gAbOpwNL�,560,1563,911,Google,16/03/2015
Excited,OTHER,0.200000003,2626,2196,2474,"RT sundarpichai: Excited to announce dates for Google I/O in San Francisco on May 28-29, 2015. More details at https://t.co/9CdxQHxEiS",1506,1035,1341,Google,11/9/2014
President,OTHER,0,2217,2938,2468,RT googlepolitics: The President spoke to both his plan on community colleges &amp; diplomacy with Cuba. See the top questions on both --&gt; htt�,1608,484,1214,Google,25/04/2015
easier,OTHER,0.035195999,2614,2196,2462,RT gmail: Today we're releasing a preview of the new Google Contacts that makes it easier to keep track of the people you know: http://t.c�,657,629,647,Google,1/6/2015
#googlesearch,HASHTAG,2.28E-11,2909,1669,2460,Google turns 15 on 9/27. Today we're announcing some of the latest improvements to #googlesearch. Stay tuned for updates! #google15,509,148,382,Google,24/12/2014
good,OTHER,0.0359176,3047,1331,2440,Delicious *and* good for your heart! #OkGoogle http://t.co/oJ4iWu5ypD,1643,270,1162,Google,29/06/2014
President Obama,OTHER,0,2661,1990,2424,RT YouTube: Tune in to http://t.co/VV9evY1bJ7 tonight at 9 p.m. ET for President Obama's State of the Union address. #SOTU http://t.co/bLL�,1772,473,1317,Google,23/06/2014
@paulwesley,USERNAME,0,1806,3564,2421,RT paulwesley: See how you can help GorillaCD this #EarthDay with the support of http://t.co/FqGZvW8Nh5 - WATCH MY VIDEO msg here http://�,1806,3564,2421,Google,16/10/2014
http://t.co/FqGZvW8Nh5,LINK,0,1806,3564,2421,RT paulwesley: See how you can help GorillaCD this #EarthDay with the support of http://t.co/FqGZvW8Nh5 - WATCH MY VIDEO msg here http://�,1806,3564,2421,Google,14/01/2015
@GorillaCD,USERNAME,0,1806,3564,2421,RT paulwesley: See how you can help GorillaCD this #EarthDay with the support of http://t.co/FqGZvW8Nh5 - WATCH MY VIDEO msg here http://�,1806,3564,2421,Google,28/05/2014
#JaredHugginLeto,HASHTAG,0.398636371,1688,3755,2411,RT JaredLeto: #JaredHugginLeto hugs all around for helping me make Google's #YearInSearch! http://t.co/bG4rkXjD6b http://t.co/nuY7i8veRM,1688,3755,2411,Google,9/12/2013
http://t.co/bG4rkXjD6b,LINK,0,1688,3755,2411,RT JaredLeto: #JaredHugginLeto hugs all around for helping me make Google's #YearInSearch! http://t.co/bG4rkXjD6b http://t.co/nuY7i8veRM,1688,3755,2411,Google,2/2/2015
hugs,OTHER,0.797272742,1688,3755,2411,RT JaredLeto: #JaredHugginLeto hugs all around for helping me make Google's #YearInSearch! http://t.co/bG4rkXjD6b http://t.co/nuY7i8veRM,1688,3755,2411,Google,28/05/2014
http://t.co/GYoLAyxOSb,LINK,0,2423,2385,2406,Every year we bring together the moments that really mattered. This is our #YearInSearch ? http://t.co/GYoLAyxOSb,617,524,584,Google,27/09/2013
#MEX,HASHTAG,-9.11E-04,2720,1806,2398,He's so excited - and he just can't hide it. #GoogleTrends #MEX http://t.co/zED17M0ubl,1333,798,1145,Google,19/05/2015
hope,OTHER,0.13973167,2792,1645,2387,Many moments of hope this #YearInSearch: We searched more for �mh370 found� than �mh370 lost� http://t.co/pjm3YXO0W9 http://t.co/wLocZNhuHi,1088,436,859,Google,23/01/2015
favorite,OTHER,0.033443447,2336,2493,2380,RT googlechrome: Our friends at lifehacker picked their favorite Chrome apps to keep you productive in the #NewYear: http://t.co/jXKBgmFD�,201,487,301,Google,3/3/2015
#Oscars2015,HASHTAG,0.038296704,2174,2706,2353,"""Ok Google, remind me to call mom."" #Oscars2015 http://t.co/wcLdm1zcsY",456,367,424,Google,16/01/2015
invite TODAY,OTHER,0.300000012,3125,894,2344,RT inboxbygmail: Want an invite TODAY? #InboxHappyHour 3-4pm PT. Send us an email at inboxgoogle.com between 3 and 4pm PT and you'll get �,3125,894,2344,Google,15/01/2015
@gmail,USERNAME,9.92E-05,2292,2404,2329,RT gmail: Today we're releasing a preview of the new Google Contacts that makes it easier to keep track of the people you know: http://t.c�,657,629,647,Google,11/5/2015
http://t.co/Xr0OX0adZJ,LINK,0,1650,3484,2291,RT YouTube: Something awesome this way comes. #YouTubeRewind drops in two hours! http://t.co/Xr0OX0adZJ,1650,3484,2291,Google,4/6/2015
secure,OTHER,0.056370626,2532,1853,2289,"RT Android: Introducing #AndroidPay, the simple and secure way to pay withyour #Android phone http://t.co/8w28fxJdJC #io15",708,699,704,Google,28/05/2015
self-driving car,OTHER,0.1875,2662,1587,2285,The next stop on the road to a self-driving car http://t.co/gniIr42rmQ http://t.co/AkpLOpMWWB,2140,1243,1826,Google,22/08/2014
security,OTHER,0.002688289,2222,2575,2279,Introducing My Account. Take control of your Google privacy &amp; security settings�all in 1 place http://t.co/xWiJ5buiA8 http://t.co/s2LfAOW6a7,524,655,569,Google,23/02/2015
beautiful,OTHER,0.068839184,2186,2390,2252,"Here's a shoutout to 2014, a year of Flappy Bird, ice bucket challenges and the beautiful game. http://t.co/RBSii0np0h",483,585,518,Google,23/01/2015
http://t.co/tRWneHhE8K,LINK,0,2185,2279,2217,RT googlephotos: Hello world #io15 http://t.co/tRWneHhE8K,2185,2279,2217,Google,18/01/2015
celebrates,OTHER,0.128333338,2445,1801,2216,Today's #GoogleDoodle celebrates the achievements of women everywhere. Happy International Women's Day! http://t.co/wxYF0BMO1C,844,805,830,Google,17/01/2015
accessible,OTHER,0.11633334,2535,1595,2204,"Our mission is to make the world's information accessible�yes, even Seth Rogen movies. http://t.co/UihLmOJLwV",2191,1305,1880,Google,17/09/2014
@GoogleCR,USERNAME,0.055268681,2439,1773,2202,Reduced cost of calls to #Nepal to 1�/min (from 19�/min) to help loved ones connect? http://t.co/RjfHY8bCri GoogleCR http://t.co/fWEb70Pp8P,737,642,703,Google,11/9/2014
http://t.co/CehXQGAoiC,LINK,0,2844,1009,2201,"Never get lost again. Try the new Google Translate app, for Android and iOS ? http://t.co/CehXQGAoiC http://t.co/3qDr7Voa8p",2844,1009,2201,Google,20/12/2014
http://t.co/3qDr7Voa8p,LINK,0,2844,1009,2201,"Never get lost again. Try the new Google Translate app, for Android and iOS ? http://t.co/CehXQGAoiC http://t.co/3qDr7Voa8p",2844,1009,2201,Google,26/06/2015
#ARG,HASHTAG,0,2505,1646,2201,"Steady on, Sabella! #ARG #GoogleTrends http://t.co/H0UXEdMOUp",999,578,851,Google,10/2/2015
#SuperBowl,HASHTAG,0,2118,1969,2063,So ... about Tom Brady. #SuperBowl http://t.co/yIdBkp7fl2,1145,872,1049,Google,4/6/2015
India,OTHER,0.0023167,2356,1531,2062,"Introducing Android One: Smartphones for under $100, available in India this fall. Android comes standard. #io14",480,172,372,Google,28/05/2015
lucky,OTHER,0.600000024,2073,2013,2051,RT twitter: .google We're feeling lucky. ?? Tweets will now show up in Google Search: https://t.co/3zMZ3OoAfu http://t.co/NJI5oYkZS1,2032,1983,2014,Google,11/2/2014
best,OTHER,0.035195958,1829,2489,2051,"12 of the best new features in Android #Lollipop, according to verge http://t.co/3DYOTF4rIw http://t.co/dwHRIhgQQR",420,556,467,Google,14/03/2015
Santa,OTHER,0.005431144,2378,1431,2042,Breaking news: Santa's in flight! #TrackSanta at http://t.co/FBaQyiSPrP or download the app: http://t.co/bmC5rE89S8 http://t.co/VMbBByt1jg,944,285,713,Google,19/12/2014
#google15,HASHTAG,0.007726191,2571,1068,2042,Happy birthday to us! Visit http://t.co/CbazvDillI to help us celebrate the big 15. #google15 http://t.co/E9ilJm4Xl3,813,337,646,Google,26/06/2014
